qid,query,dataset,char_len,word_count
1196,The availability of safe places to study is effective at decreasing homelessness.,scifact,81,12
1197,The availability of safe places to study is not effective at decreasing homelessness.,scifact,85,13
1199,The benefits of colchicine were achieved with effective widespread use of secondary prevention strategies such as high-dose statins.,scifact,132,18
1200,The binding orientation of the ML-SA1 activator at hTRPML2 is different from the binding orientation of the ML-SA1 activator at hTRPML1.,scifact,136,21
1202,The center of the granuloma in an immune cell induces a pro-inflammatory immune response.,scifact,89,14
1204,The combination of H3K4me3 and H3K79me2 is found in quiescent hair follicle stem cells.,scifact,87,14
1207,The composition of myosin-II isoform switches from the polarizable B isoform to the more homogenous A isoform during hematopoietic differentiation.,scifact,147,20
1213,The deregulated and prolonged activation of monocytes has deleterious effects in inflammatory diseases.,scifact,103,13
1216,The extracellular domain of TMEM27 is cleaved in human beta cells.,scifact,66,11
1221,The genomic aberrations found in matasteses are very similar to those found in the primary tumor.,scifact,97,16
1225,The locus rs647161 is associated with colorectal carcinoma.,scifact,59,8
1226,"The loss of the TET protein functions may have dire biological consequences, such as myeloid cancers.",scifact,101,16
1232,The minor G allele of FOXO3 is related to more severe symptoms of Crohn's Disease.,scifact,82,15
124,Antiretroviral therapy reduces rates of tuberculosis across a broad range of CD4 strata.,scifact,88,13
1241,The myocardial lineage develops from cardiac progenitors of mesodermal origin.,scifact,78,10
1245,The one-child policy has been successful in lowering population growth.,scifact,71,10
1259,The relationship between a breast cancer patient's capacity to metabolize tamoxifen and treatment outcome is dependent on the patient's genetic make-up.,scifact,152,21
1262,The repair of Cas9-induced double strand breaks in human DNA is error-prone.,scifact,76,12
1266,"The risk of breast cancer among parous women increases with placental weight of pregnancies, and this association is strongest for premenopausal breast cancer.",scifact,159,23
127,Arginine 90 in p150n is important for interaction with EB1.,scifact,59,10
1270,The risk of male prisoners harming themselves is ten times that of female prisoners.,scifact,84,14
1271,The severity of cardiac involvement in amyloidosis can be described by the degree of transmurality of late gadolinium enhancement in MRI.,scifact,137,21
1272,The single flash-evoked ERG b-wave is generated by activity of ON-bipolar cells.,scifact,80,12
1273,The sliding activity of kinesin-8 protein Kip3 promotes bipolar spindle assembly.,scifact,81,11
1274,The tip of the inner tube of the toxic type VI secretion system (T6SS) antibacterial effector in Escherichia coli (E. coli) carries toxic effector proteins.,scifact,156,25
1278,The treatment of cancer patients with co-IR blockade does not cause any adverse autoimmune events.,scifact,98,15
1279,The treatment of cancer patients with co-IR blockade precipitates adverse autoimmune events.,scifact,92,12
128,Arterioles have a larger lumen diameter than venules.,scifact,53,8
1280,"The ureABIEFGH gene cluster encodes urease maturation proteins : UreD/UreH, UreE, UreF, and UreG.",scifact,97,14
1281,The ureABIEFGH gene cluster is induced by nickel (II) ion.,scifact,58,10
1282,Therapeutic use of the drug Dapsone to treat pyoderma gangrenous is based on anecdotal evidence.,scifact,96,15
129,Articles published in open access format are less likely to be cited than traditional journals.,scifact,95,15
1290,There is an inverse relationship between hip fractures and statin use.,scifact,70,11
1292,There is no association between HNF4A mutations and diabetes risks.,scifact,67,10
1298,Thigh-length graduated compression stockings (GCS) did not reduce deep vein thrombosis in patients admitted to hospital who are immobile because of acute stroke.,scifact,161,23
13,5% of perinatal mortality is due to low birth weight.,scifact,53,10
130,Articles published in open access format are more likely to be cited than traditional journals.,scifact,95,15
1303,Tirasemtiv has no effect on fast-twitch muscle.,scifact,47,7
1316,Transferred UCB T cells acquire a memory-like phenotype in recipients.,scifact,70,10
1319,Transplanted human glial cells can differentiate within the host animal.,scifact,72,10
132,Aspirin inhibits the production of PGE2.,scifact,40,6
1320,Transplanted human glial progenitor cells are incapable of forming a neural network with host animals' neurons.,scifact,111,16
133,"Assembly of invadopodia is triggered by focal generation of phosphatidylinositol-3,4-biphosphate and the activation of the nonreceptor tyrosine kinase Src.",scifact,155,19
1332,Tumor necrosis factor alpha (TNF-α) and interleukin-1 (IL-1) are pro-inflammatory cytokines that inhibit IL-6 and IL-10.,scifact,120,16
1335,UCB T cells maintain high TCR diversity after transplantation.,scifact,62,9
1336,UCB T cells reduce TCR diversity after transplantation.,scifact,55,8
1337,Ubiquitin ligase UBC13 generates a K63-linked polyubiquitin moiety at PCNA K164.,scifact,80,11
1339,Ultrasound guidance significantly raises the number of traumatic procedures when attempting needle insertion.,scifact,109,13
1344,Up-regulation of the p53 pathway and related molecular events casues cancer resistance and results in a significantly shortened lifespan marked by senescent cells and accelerated organismal aging.,scifact,196,27
1352,Upregulation of mosGCTL-1 is induced upon infection with West Nile virus.,scifact,73,11
1359,Varenicline monotherapy is more effective after 12 weeks of treatment compared to combination nicotine replacement therapies with varenicline or bupropion.,scifact,155,20
1362,Venules have a larger lumen diameter than arterioles.,scifact,53,8
1363,Venules have a thinner or absent smooth layer compared to arterioles.,scifact,69,11
1368,Vitamin D deficiency effects the term of delivery.,scifact,50,8
137,Asymptomatic visual impairment screening in elderly populations does not lead to improved vision.,scifact,97,13
1370,Vitamin D deficiency is unrelated to birth weight.,scifact,50,8
1379,Women with a higher birth weight are more likely to develop breast cancer later in life.,scifact,88,16
1382,aPKCz causes tumour enhancement by affecting glutamine metabolism.,scifact,66,8
1385,cSMAC formation enhances weak ligand signalling.,scifact,48,6
1389,mTORC2 regulates intracellular cysteine levels through xCT inhibition.,scifact,70,8
1395,p16INK4A accumulation is  linked to an abnormal wound response caused by the microinvasive step of advanced Oral Potentially Malignant Lesions (OPMLs).,scifact,151,21
141,Auditory entrainment is strengthened when people see congruent visual and auditory information.,scifact,95,12
142,Autologous transplantation of mesenchymal stem cells causes a higher rate of opportunistic infections than induction therapy with anti-interleukin-2 receptor antibodies.,scifact,169,20
143,Autologous transplantation of mesenchymal stem cells causes fewer opportunistic infections than induction therapy with anti-interleukin-2 receptor antibodies.,scifact,158,17
146,Autologous transplantation of mesenchymal stem cells has lower rates of rejection than induction therapy with anti-interleukin-2 receptor antibodies.,scifact,149,18
148,Autophagy declines in aged organisms.,scifact,37,5
163,Bariatric surgery has a positive impact on mental health.,scifact,57,9
171,Basophils counteract disease development in patients with systemic lupus erythematosus (SLE).,scifact,93,11
179,Birth-weight is positively associated with breast cancer.,scifact,57,7
180,Blocking the interaction between TDP-43 and respiratory complex I proteins ND3 and ND6 leads to increased TDP-43-induced neuronal loss.,scifact,135,19
183,Bone marrow cells contribute to adult macrophage compartments.,scifact,62,8
185,Breast cancer development is determined exclusively by genetic factors.,scifact,71,9
198,CCL19 is absent within dLNs.,scifact,28,5
208,CHEK2 is not associated with breast cancer.,scifact,43,7
212,CR is associated with higher methylation age.,scifact,45,7
213,CRP is not predictive of postoperative mortality following Coronary Artery Bypass Graft (CABG) surgery.,scifact,103,14
216,CX3CR1 on the Th2 cells impairs T cell survival,scifact,47,9
217,CX3CR1 on the Th2 cells promotes T cell survival,scifact,48,9
218,CX3CR1 on the Th2 cells promotes airway inflammation.,scifact,53,8
219,CX3CR1 on the Th2 cells suppresses airway inflammation.,scifact,55,8
230,Carriers of the alcohol aldehyde dehydrogenase deficiency mutation drink less that non-carries.,scifact,95,12
232,Cataract and trachoma are the primary cause of blindness in Southern Sudan.,scifact,75,12
233,Cell autonomous sex determination in somatic cells does not occur in Galliformes.,scifact,81,12
236,Cell autonomous sex determination in somatic cells occurs in Passeriformes.,scifact,75,10
237,Cells lacking clpC have a defect in sporulation efficiency in Bacillus subtilis.,scifact,80,12
238,Cells undergoing methionine restriction may activate miRNAs.,scifact,60,7
239,Cellular aging closely links to an older appearance.,scifact,52,8
248,Chenodeosycholic acid treatment increases whole-body energy expenditure.,scifact,72,7
249,Chenodeosycholic acid treatment reduces whole-body energy expenditure.,scifact,70,7
261,"Chronic aerobic exercise alters endothelial function, improving vasodilating mechanisms mediated by NO.",scifact,103,12
268,Cold exposure increases BAT recruitment.,scifact,40,5
269,Cold exposure reduces BAT recruitment.,scifact,38,5
274,Combination nicotine replacement therapies with varenicline or bupropion lead to significantly higher long-term abstinence rates at 52 weeks than varenicline monotherapy.,scifact,170,21
275,Combining phosphatidylinositide 3-kinase and MEK 1/2 inhibitors is effective at treating KRAS mutant tumors.,scifact,108,14
279,Commelina yellow mottle virus' (ComYMV) genome consists of 7489 baise pairs.,scifact,76,11
294,Crossover hot spots are not found within gene promoters in Saccharomyces cerevisiae.,scifact,84,12
295,Crosstalk between dendritic cells (DCs) and innate lymphoid cells (ILCs) is important in the regulation of intestinal homeostasis.,scifact,130,18
298,Cytochrome c is released from the mitochondrial intermembrane space to cytosol during apoptosis.,scifact,96,13
3,"1,000 genomes project enables mapping of genetic sequence variation consisting of rare variants with larger penetrance effects than common variants.",scifact,148,20
300,Cytosolic proteins bind to iron-responsive elements on mRNAs coding for DMT1. Cytosolic proteins bind to iron-responsive elements on mRNAs coding for proteins involved in iron uptake.,scifact,183,26
303,DMRT1 is a sex-determining gene that is epigenetically regulated by the MHM region.,scifact,83,13
312,De novo assembly of sequence data has more specific contigs than unassembled sequence data.,scifact,91,14
314,Deamination of cytidine to uridine on the minus strand of viral DNA results in catastrophic G-to-A mutations in the viral genome.,scifact,129,21
324,Deleting Raptor reduces G-CSF levels.,scifact,37,5
327,Deletion of αvβ8 does not result in a spontaneous inflammatory phenotype.,scifact,73,11
338,Dexamethasone decreases risk of postoperative bleeding.,scifact,55,6
343,Diabetic patients with acute coronary syndrome experience increased short-term and long-term risk for bleeding events.,scifact,118,15
350,Discrimination between the initiator and elongation tRNAs depends on the translation initiation factor IF3.,scifact,107,14
354,Downregulation and mislocalization of Scribble prevents cell transformation and mammary tumorigenesis.,scifact,102,11
36,A deficiency of vitamin B12 increases blood levels of homocysteine.,scifact,67,10
362,During the primary early antibody response activated B cells migrate toward the inner-and outer paracortical areas where oxysterol accumulation is generated by stromal cells.,scifact,174,24
380,Enhanced early production of inflammatory chemokines improves viral control in the lung.,scifact,88,12
384,Epidemiological disease burden from noncommunicable diseases is more prevalent in low economic settings.,scifact,104,13
385,Epigenetic modulating agents (EMAs) modulate antitumor immune response in a cancer model system.,scifact,96,13
386,Errors in peripheral IV drug administration are most common during bolus administration and multiple-step medicine preparations.,scifact,128,16
388,Ethanol stress decreases the expression of IBP in bacteria.,scifact,59,9
399,Exposure to fine particulate air pollution is relate to anxiety prevalence.,scifact,75,11
410,Febrile seizures increase the threshold for development of epilepsy.,scifact,68,9
411,Febrile seizures reduce the threshold for development of epilepsy.,scifact,66,9
415,Female carriers of the Apolipoprotein E4 (APOE4) allele have increased risk for dementia.,scifact,89,13
42,A high microerythrocyte count raises vulnerability to severe anemia in homozygous alpha (+)- thalassemia trait subjects.,scifact,120,16
421,Flexible molecules experience greater steric hindrance in the tumor microenviroment than rigid molecules.,scifact,105,13
431,FoxO3a activation in neuronal death is mediated by reactive oxygen species (ROS).,scifact,81,12
436,Free histones are degraded by a Rad53-dependent mechanism once DNA has been replicated.,scifact,87,13
437,Functional consequences of genomic alterations due to Myelodysplastic syndrome (MDS) are poorly understood due to the lack of an animal model.,scifact,142,21
439,Fz/PCP-dependent Pk localizes to the anterior membrane of neuroectoderm cells during zebrafish neuralation,scifact,106,13
440,Fz/PCP-dependent Pk localizes to the anterior membrane of notochord cells during zebrafish neuralation.,scifact,103,13
443,GATA-3 is important for hematopoietic stem cell (HSC) function.,scifact,63,9
452,Gene expression does not vary appreciably across genetically identical cells.,scifact,77,10
475,Glycolysis is one of the primary glycometabolic pathways in cells.,scifact,66,10
478,Golli-deficient T-cells prefer to differentiate into an anergic phenotype in the adaptive immune response when there are increased levels of Ca2+ in the cytosol.,scifact,161,24
48,"A total of 1,000 people in the UK are asymptomatic carriers of vCJD infection.",scifact,78,14
49,ADAR1 binds to Dicer to cleave pre-miRNA.,scifact,41,7
491,HNF4A mutations can cause diabetes in mutant carriers by the age of 14 years,scifact,76,14
5,1/2000 in UK have abnormal PrP positivity.,scifact,42,7
50,AIRE is expressed in some skin tumors.,scifact,38,7
501,Headaches are not correlated with cognitive impairment.,scifact,55,7
502,"Healthcare delivery efficiency in crowded delivery centers is impaired by improving structural, logistical, and interpersonal elements.",scifact,135,16
507,Helminths interfere with immune system control of macrophages activated by IL-4 favor Mycobacterium tuberculosis replication.,scifact,125,15
508,Hematopoietic Stem Cell purification reaches purity rate of up to 50%.,scifact,70,11
51,ALDH1 expression is associated with better breast cancer outcomes.,scifact,66,9
513,High cardiopulmonary fitness causes increased mortality rate.,scifact,61,7
514,High dietary calcium intakes are unnecessary for prevention of secondary hyperparathyroidism in subjects with 25(OH)D levels above 75 nmol/liter.,scifact,145,19
516,High levels of CRP reduces the risk of exacerbations in chronic obstructive pulmonary disease (COPD).,scifact,101,15
517,High levels of copeptin decrease risk of diabetes.,scifact,50,8
521,High-sensitivity cardiac troponin T (HSCT-T) dosage may not be diagnostic if the onset of symptoms occurs less than 3 hours before acute myocardial injury (AMI).,scifact,161,25
525,Histone demethylase recruitment and a transient decrease in histone methylation is necessary for ligand-dependent induction of transcription by nuclear receptors.,scifact,162,20
527,Homozygous deletion of murine Sbds gene from osterix-expressing mesenchymal stem and progenitor cells (MPCs) prevents oxidative stress.,scifact,135,17
528,Human T-lymphotropic virus type-I-associated myelopathy / tropical spastic paraparesis (HAM/TSP) patients produce Immunoglobulin G (IgG) antibodies which cross-react with an immunodominant epitope in Tax.,scifact,204,24
53,ALDH1 expression is associated with poorer prognosis in breast cancer.,scifact,70,10
532,Hyperfibrinogenemia decreases rates of femoropopliteal bypass thrombosis.,scifact,73,7
533,Hyperfibrinogenemia increases rates of femoropopliteal bypass thrombosis.,scifact,73,7
535,Hypertension is frequently observed in type 1 diabetes patients.,scifact,64,9
536,Hypocretin neurones induce panicprone state in rats.,scifact,52,7
539,Hypoglycemia increases the risk of dementia.,scifact,44,6
54,AMP-activated protein kinase (AMPK) activation increases inflammation-related fibrosis in the lungs.,scifact,100,11
540,Hypothalamic glutamate neurotransmission is crucial to energy balance.,scifact,70,8
544,IFIT1 restricts viral replication by sequestrating mis-capped viral RNAs.,scifact,73,9
549,IRG1 has antiviral effects against neurotropic viruses.,scifact,55,7
551,ITAM phosphorylation prevents the transfer of the T cell receptor (TCR) signal from the echo-domain to the cytoplasmic tail of the T cell receptor (TCR).,scifact,153,25
552,IgA plasma cells that are specific for transglutaminase 2 accumulate in the duodenal mucosa on commencement of a gluten-free diet.,scifact,130,20
554,Immune complex triggered cell death leads to extracellular release of neutrophil protein HMGB1.,scifact,95,13
56,APOE4 expression in iPSC-derived neurons increases AlphaBeta production and tau phosphorylation causing GABA neuron degeneration.,scifact,129,15
560,Immune responses result in the development of inflammatory Th17 cells and anti-inflammatory iTregs.,scifact,99,13
569,"In adult tissue, most T cells are memory T cells.",scifact,49,10
57,"APOE4 expression in iPSC-derived neurons increases AlphaBeta production and tau phosphorylation, delaying GABA neuron degeneration.",scifact,131,15
575,"In domesticated populations of Saccharomyces cerevisiae, whole chromosome aneuploidy is very uncommon.",scifact,102,12
577,"In mice, P. chabaudi parasites are able to proliferate faster early in infection when inoculated at lower numbers than when inoculated at high numbers.",scifact,151,24
578,"In mouse models, the loss of CSF1R facilitates MOZ-TIF2-induced leuekmogenesis.",scifact,79,10
587,"In transgenic mice harboring green florescent protein under the control of the Sox2 promoter, less than ten percent of the cells with green florescent colocalize with cell proliferation markers.",scifact,194,29
589,"In young and middle-aged adults, current or remote uses of ADHD medications do not increase the risk of serious cardiovascular events.",scifact,134,21
593,Incidence of heart failure decreased by 10% in women since 1979.,scifact,64,11
597,Incidence rates of cervical cancer have decreased.,scifact,50,7
598,Incidence rates of cervical cancer have increased due to nationwide screening programs based primarily on cytology to detect uterine cervical cancer.,scifact,149,21
613,Increased microtubule acetylation repairs LRRK2 Roc-COR domain mutation induced locomotor deficits.,scifact,99,11
619,Increased vessel density along with a reduction in fibrosis decreases the efficacy of chemotherapy treatments.,scifact,110,15
623,Individuals with low serum vitamin D concentrations have increased risk of multiple sclerosis.,scifact,94,13
628,Infection of human T-cell lymphotropic virus type 1 is most frequent in individuals of African origin.,scifact,102,16
636,"Inositol lipid 3-phosphatase PTEN converts Ptdlns(3,4)P 2 into phosphatidylinositol 4-phosphate.",scifact,96,10
637,Input from  mental and physical health care professionals is effective at decreasing homelessness.,scifact,98,13
641,Insomnia can be effectively treated with cognitive behavioral therapy.,scifact,70,9
644,Insulin increases risk of severe kidney failure.,scifact,48,7
649,Integrating classroom-based collaborative learning with Web-based collaborative learning leads to subpar class performance,scifact,122,13
659,Ivermectin is used to treat lymphatic filariasis.,scifact,49,7
660,Ivermectin is used to treat onchocerciasis.,scifact,43,6
674,LDL cholesterol has no involvement in the development of cardiovascular disease.,scifact,80,11
684,Lack of clpC does not affect sporulation efficiency in Bacillus subtilis cells.,scifact,79,12
690,Less than 10% of the gabonese children with Schimmelpenning-Feuerstein-Mims syndrome (SFM) had a plasma lactate of more than 5mmol/L.,scifact,133,19
691,Leukemia associated Rho guanine nucleotide-exchange factor represses RhoA in response to SRC activation.,scifact,104,13
692,Leuko-increased blood increases infectious complications in red blood cell transfusion.,scifact,87,10
693,Leuko-reduced blood reduces infectious complications in red blood cell transfusion.,scifact,83,10
70,Activation of PPM1D suppresses p53 function.,scifact,44,6
700,Localization of PIN1 in the Arabidopsis embryo does not require VPS9a,scifact,69,11
702,Localization of PIN1 in the roots of Arabidopsis does not require VPS9a,scifact,71,12
715,Low expression of miR7a does represses target genes and exerts a biological function in ovaries.,scifact,96,15
716,Low expression of miR7a exerts a biological function in testis.,scifact,63,10
718,Low nucleosome occupancy correlates with low methylation levels across species.,scifact,79,10
72,Activator-inhibitor pairs are provided dorsally by Admpchordin.,scifact,63,7
721,Lupus-prone mice infected with curliproducing bacteria have higher autoantibody titers compared to controls.,scifact,108,13
723,Ly49Q directs the organization of neutrophil migration to inflammation sites by regulating membrane raft functions.,scifact,115,15
727,Ly6C hi monocytes have a lower inflammatory capacity compared to their Ly6C lo counterparts.,scifact,92,14
728,Ly6C hi monocytes have a lower inflammatory capacity than Ly6C lo monocytes.,scifact,76,12
729,Lymphadenopathy is observed in knockin mouse lacking the SHP-2 MAPK pathway.,scifact,76,11
742,Macrolides have no protective effect against myocardial infarction.,scifact,67,8
743,Macrolides protect against myocardial infarction.,scifact,49,5
744,Macropinocytosis contributes to a cell's supply of amino acids via the intracellular uptake of protein.,scifact,103,15
75,"Active H. pylori urease has a polymeric structure that compromises two subunits, UreA and UreB.",scifact,95,15
756,Many proteins in human cells can be post-translationally modified at lysine residues via acetylation.,scifact,101,14
759,Mathematical models predict that using Artemisinin-based combination therapy over nongametocytocidal drugs have a dramatic impact in reducing malaria transmission.,scifact,163,19
768,Mercaptopurine is anabolized into the inactive methylmercaptopurine by thiopurine methyltrasnferase (TPMT).,scifact,107,11
770,Metastatic colorectal cancer treated with a single agent fluoropyrimidines resulted in reduced efficacy and lower quality of life when compared with oxaliplatin-based chemotherapy in elderly patients.,scifact,200,26
775,Mice defective for deoxyribonucleic acid (DNA) polymerase I (polI) reveal increased sensitivity to ionizing radiation (IR).,scifact,123,16
781,Mice that lack Interferon-γ or its receptor exhibit high resistance to experimental autoimmune myocarditis.,scifact,107,14
783,Mice without IFN-γ or its receptor are resistant to EAM induced with α-MyHC/CFA.,scifact,80,13
784,MicroRNA is involved in the regulation of Neural Stem Cell (NSC) differentiation and proliferation dynamic homeostasis,scifact,118,16
785,Microarray results from culture-amplified mixtures of serotypes correlate poorly with microarray results from uncultured mixtures.,scifact,130,15
793,Mitochondria are uninvolved in apoptosis.,scifact,41,5
800,Modifying the epigenome in the brain affects the normal human aging process by affecting certain genes related to neurogenesis.,scifact,127,19
805,Monoclonal antibody targeting of N-cadherin inhibits metastasis.,scifact,64,7
808,Most termination events in Okazaki fragments are sequence specific.,scifact,67,9
811,Mutant mice lacking SVCT2 have greatly increased ascorbic acid levels in both brain and adrenals.,scifact,97,15
814,"Mutations in G-Beta protein GNB2 are present in many cancers, resulting in loss of interaction with G-alpha subunits and concomitant activation of AKT pathway.",scifact,159,24
820,N-terminal cleavage increases success identifying transcription start sites.,scifact,76,8
821,N-terminal cleavage reduces success identifying transcription start sites.,scifact,74,8
823,N348I mutations cause resistance to zidovudine (AZT).,scifact,53,7
830,NF2 (Merlin) causes phosphorylation and subsequent cytoplasmic sequestration of YAP in Drosophila by activating LATS1/2 kinases.,scifact,128,16
831,NF2 (Merlin) prevents phosphorylation and subsequent cytoplasmic sequestration of YAP in Drosophila.,scifact,100,12
832,NFAT4 activation requires IP3R-mediated Ca2+ mobilization.,scifact,58,6
834,NOX2-independent pathways can generate peroxynitrite by reacting with nitrogen intermediates.,scifact,93,10
837,NR5A2 is important in development of endometrial tissues.,scifact,57,8
839,Nanoparticles can be targeted against specific cell types by incorporating aptamers into lipid nanoparticles.,scifact,109,14
845,Neutrophil extracellular traps (NETs) are released by ANCA-stimulated neutrophils.,scifact,82,9
847,New drugs for tuberculosis often do not penetrate the necrotic portion of a tuberculosis lesion in high concentrations.,scifact,119,18
852,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,scifact,107,14
859,Normal expression of RUNX1 has tumor-promoting effects.,scifact,55,7
870,Obesity decreases life quality.,scifact,31,4
873,Obesity is determined solely by environmental factors.,scifact,54,7
879,Occupancy of ribosomes by IncRNAs do not make functional peptides.,scifact,66,10
880,Occupancy of ribosomes by IncRNAs mirror 5 0-UTRs,scifact,49,8
882,Omnivores produce less trimethylamine N-oxide from dietary I-carnitine than vegetarians.,scifact,88,10
887,Only a minority of cells survive development after differentiation into stress-resistant spores.,scifact,96,12
903,PD-1 triggering on monocytes reduces IL-10 production by monocytes.,scifact,67,9
904,PDPN promotes efficient motility along stromal surfaces by activating the C-type lectin receptor to rearrange the actin cytoskeleton in dendritic cells.,scifact,152,21
907,PGE 2 promotes intestinal tumor growth by altering the expression of tumor suppressing and DNA repair genes.,scifact,108,17
911,PKG-la plays an essential role in expression of pain hypersensitivity in PGK-la knockout mice.,scifact,94,14
913,PPAR-RXRs are inhibited by PPAR ligands.,scifact,40,6
914,PPAR-RXRs can be activated by PPAR ligands.,scifact,43,7
921,Participating in six months of physical activity improves cognitive functioning.,scifact,80,10
922,Patients in stable partnerships have a faster progression from HIV to AIDS.,scifact,75,12
936,Peroxynitrite is required for nitration of TCR/CD8.,scifact,51,7
94,Albendazole is used to treat lymphatic filariasis.,scifact,50,7
956,Pleiotropic coupling of GLP-1R to intracellular effectors promotes distinct profiles of cellular signaling.,scifact,107,13
957,Podocytes are motile and migrate in the presence of injury.,scifact,59,10
960,Polymeal nutrition reduces cardiovascular mortality.,scifact,52,5
967,Pretreatment with the Arp2/3 inhibitor CK-666 affects lamelliopodia formation.,scifact,78,9
971,Primary cervical cancer screening with HPV detection has higher longitudinal sensitivity than conventional cytology to detect cervical intraepithelial neoplasia grade 2.,scifact,169,21
975,Primary pro-inflammatory cytokines induce secondary pro- and anti-inflammatory mediators.,scifact,89,9
982,Proteins synthesized at the growth cone are ubiquitinated at a higher rate than proteins from the cell body.,scifact,108,18
985,Pseudogene PTENP1 regulates the expression of PTEN by functioning as an miRNA decoy.,scifact,84,13
99,Alizarin forms hydrogen bonds with residues involved in PGAM1 substrate binding.,scifact,80,11
993,Pyridostatin destabilizes the G - quadruplex in the telomeric region.,scifact,69,10
