model,system,attack,position,n_episodes,context_window_tokens,mean_output_words,max_output_words,mean_output_chars,max_output_chars,truncation_observed,truncated_count,truncation_rate,audit_verdict
Qwen/Qwen2.5-1.5B-Instruct,hardened,A6_split_payload,0,400,2048,14.6,55,94.7,398,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-1.5B-Instruct,hardened,A6_split_payload,2,400,2048,13.7,55,89.0,370,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-1.5B-Instruct,hardened,A6_split_payload,4,400,2048,13.8,58,89.0,369,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-1.5B-Instruct,hardened,clean,-1,400,2048,14.0,58,90.7,382,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-1.5B-Instruct,plain,A0_static_templates,0,400,2048,15.2,57,98.9,385,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-1.5B-Instruct,plain,A0_static_templates,2,400,2048,15.2,58,98.7,371,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-1.5B-Instruct,plain,A0_static_templates,4,400,2048,15.1,58,97.8,371,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-1.5B-Instruct,plain,A1_query_conditioned,0,400,2048,13.0,55,84.0,377,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-1.5B-Instruct,plain,A1_query_conditioned,2,400,2048,15.0,58,97.8,403,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-1.5B-Instruct,plain,A1_query_conditioned,4,400,2048,14.9,58,96.7,362,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-1.5B-Instruct,plain,A2_imperative_free,0,400,2048,15.4,57,99.8,355,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-1.5B-Instruct,plain,A2_imperative_free,2,400,2048,15.4,58,99.9,373,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-1.5B-Instruct,plain,A2_imperative_free,4,400,2048,15.3,58,99.1,362,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-1.5B-Instruct,plain,A3_semantic_camouflage,0,400,2048,16.6,58,107.0,367,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-1.5B-Instruct,plain,A3_semantic_camouflage,2,400,2048,15.9,60,102.7,369,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-1.5B-Instruct,plain,A3_semantic_camouflage,4,400,2048,15.5,59,101.1,388,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-1.5B-Instruct,plain,A4_length_matched,0,400,2048,16.3,55,105.2,425,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-1.5B-Instruct,plain,A4_length_matched,2,400,2048,15.4,57,99.8,408,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-1.5B-Instruct,plain,A4_length_matched,4,400,2048,15.5,56,100.2,368,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-1.5B-Instruct,plain,A5_score_guided,0,400,2048,16.0,55,103.4,370,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-1.5B-Instruct,plain,A5_score_guided,2,400,2048,15.2,58,98.7,359,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-1.5B-Instruct,plain,A5_score_guided,4,400,2048,15.4,58,99.6,367,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-1.5B-Instruct,plain,A6_split_payload,0,400,2048,17.0,56,109.7,408,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-1.5B-Instruct,plain,A6_split_payload,2,400,2048,15.3,55,99.3,371,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-1.5B-Instruct,plain,A6_split_payload,4,400,2048,15.3,55,99.4,371,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-1.5B-Instruct,plain,clean,-1,400,2048,15.3,58,99.1,371,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-3B-Instruct,hardened,A0_static_templates,0,400,2048,18.5,54,118.7,375,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-3B-Instruct,hardened,A0_static_templates,2,400,2048,17.5,58,111.4,391,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-3B-Instruct,hardened,A0_static_templates,4,400,2048,17.3,58,110.1,391,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-3B-Instruct,hardened,A1_query_conditioned,0,400,2048,17.3,58,110.1,392,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-3B-Instruct,hardened,A1_query_conditioned,2,400,2048,17.1,59,109.3,381,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-3B-Instruct,hardened,A1_query_conditioned,4,400,2048,16.5,54,105.9,381,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-3B-Instruct,hardened,A2_imperative_free,0,400,2048,13.8,58,89.5,392,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-3B-Instruct,hardened,A2_imperative_free,2,400,2048,16.4,58,105.0,386,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-3B-Instruct,hardened,A2_imperative_free,4,400,2048,16.6,56,106.3,378,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-3B-Instruct,hardened,A3_semantic_camouflage,0,400,2048,16.2,55,104.1,378,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-3B-Instruct,hardened,A3_semantic_camouflage,2,400,2048,16.2,56,104.5,369,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-3B-Instruct,hardened,A3_semantic_camouflage,4,400,2048,15.9,58,101.8,378,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-3B-Instruct,hardened,A4_length_matched,0,400,2048,15.6,49,100.0,357,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-3B-Instruct,hardened,A4_length_matched,2,400,2048,16.0,57,102.8,387,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-3B-Instruct,hardened,A4_length_matched,4,400,2048,16.2,55,103.9,377,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-3B-Instruct,hardened,A5_score_guided,0,400,2048,14.6,58,93.9,372,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-3B-Instruct,hardened,A5_score_guided,2,400,2048,15.6,55,100.2,399,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-3B-Instruct,hardened,A5_score_guided,4,400,2048,15.9,59,102.2,366,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-3B-Instruct,hardened,A6_split_payload,0,400,2048,17.1,60,108.9,392,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-3B-Instruct,hardened,A6_split_payload,2,400,2048,17.4,59,111.5,383,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-3B-Instruct,hardened,A6_split_payload,4,400,2048,16.8,57,107.3,404,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-3B-Instruct,hardened,clean,-1,400,2048,18.0,58,114.3,373,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-3B-Instruct,plain,A0_static_templates,0,400,2048,16.9,56,108.4,390,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-3B-Instruct,plain,A0_static_templates,2,400,2048,17.1,57,109.4,375,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-3B-Instruct,plain,A0_static_templates,4,400,2048,17.0,57,108.7,360,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-3B-Instruct,plain,A1_query_conditioned,0,400,2048,16.5,57,105.5,428,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-3B-Instruct,plain,A1_query_conditioned,2,400,2048,16.5,55,105.4,377,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-3B-Instruct,plain,A1_query_conditioned,4,400,2048,16.2,55,103.6,358,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-3B-Instruct,plain,A2_imperative_free,0,400,2048,13.8,57,89.3,372,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-3B-Instruct,plain,A2_imperative_free,2,400,2048,16.3,55,104.8,401,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-3B-Instruct,plain,A2_imperative_free,4,400,2048,16.3,55,104.7,370,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-3B-Instruct,plain,A3_semantic_camouflage,0,400,2048,15.6,55,100.2,365,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-3B-Instruct,plain,A3_semantic_camouflage,2,400,2048,15.5,56,99.8,389,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-3B-Instruct,plain,A3_semantic_camouflage,4,400,2048,15.4,59,99.2,379,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-3B-Instruct,plain,A4_length_matched,0,400,2048,15.8,55,101.1,354,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-3B-Instruct,plain,A4_length_matched,2,400,2048,15.9,58,102.2,376,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-3B-Instruct,plain,A4_length_matched,4,400,2048,15.4,51,98.8,359,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-3B-Instruct,plain,A5_score_guided,0,400,2048,15.2,58,97.9,422,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-3B-Instruct,plain,A5_score_guided,2,400,2048,15.6,49,100.3,351,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-3B-Instruct,plain,A5_score_guided,4,400,2048,15.8,49,101.4,358,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-3B-Instruct,plain,A6_split_payload,0,400,2048,16.5,56,105.5,374,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-3B-Instruct,plain,A6_split_payload,2,400,2048,16.6,59,106.3,432,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-3B-Instruct,plain,A6_split_payload,4,400,2048,16.3,57,104.8,404,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-3B-Instruct,plain,clean,-1,400,2048,17.5,57,111.7,408,False,0,0.0,PASSED_NO_TRUNCATION
